Annotator	q_id	question_value	new_question	answer_value	new_answer	drop	reason	
	530a5117970c65fa6b000007	"What is the meaning of the acronym ""TAILS"" used in protein N-terminomics?"		['TAILS: Terminal Amine Isotopic Labeling of Substrates']	['Terminal Amine Isotopic Labeling of Substrates']			
	54ede8c594afd61504000009	In which phase of the cell cycle arrest is impaired in Fanconi anemia?		"['In Fanconi anemia cells, the S-phase checkpoint is inefficient.']"	"['the S-phase', 'S-phase']"			
	56c868a95795f9a73e000017	What is the application of the Bimolecular Fluorescence Complementation (BiFC) assay in Drosophila embryos?		['The study of protein-protein interactions in a physiologically relevant developing context.']	"['the study of protein interactions', 'study of protein interactions']"			
	516e5f41298dcd4e5100007f	What is the genetic basis of Rubinstein-Taybi syndrome?		['Mutations or/and deletions in the genes of the cAMP-response element binding protein-BP (CREBBP) (50-60% of the cases) and of the homologous gene E1A-binding protein (EP300) at 22q13 (5%).']		1		
	52f223e02059c6d71c00000e	Which is the genetic defect causing Neurofibromatosis type 1?		['Mutation in NF1 gene.']	['Mutation in NF1 gene']			
	56c5fd325795f9a73e000005	Which is the genetic basis of Spinal Muscular Atrophy (SMA)?		"['The molecular genetic basis of spinal muscular atrophy (SMA), an autosomal recessive neuromuscular disorder, is the loss of function of the survival motor neuron gene (SMN1)']"	"['the loss of function of the survival motor neuron gene (SMN1)', 'loss of function of the survival motor neuron gene (SMN1)']"			
	51739df58ed59a060a00001c	Which is the most important prognosis sub-classification in Chronic Lymphocytic Leukemia?		['The mutational status of the IGHV genes.']	"['The mutational status of the IGHV genes', 'mutational status of the IGHV genes']"			
	52fe52702059c6d71c000078	Where is the histone variant CENPA preferentially localized?		"['Centromeres', 'CENPA is preferentially localized in eukaryotic centromeres']"	"['centromeres', 'eukaryotic centromeres']"			
	5339ecf4d6d3ac6a3400005f	Which is the prognostic meaning of delayed enhancement documented in patients hypertrophic cardiomyopathy?		['Delayed enhancement by CMR has prognostic value in predicting adverse cardiovascular events among HCM patients.']		1		
	5719f5b27de986d80d00000c	What is the function of Neu5Gc (N-Glycolylneuraminic acid)?		['Neu5Gc is an immune message to self']	['immune message']			
	57092332cf1c325851000018	What is the molecular function of the Chd1 protein?		['Chd1 is an ATP-dependent DNA helicase']	['ATP-dependent DNA helicase']			
	535d35779a4572de6f000005	What is the proportion of non canonical splice sites in the human genome?		['Between 1% and 2% ']	['Between 1% and 2%']			
